kind,width,horizon,variables,clauses,queries,node_limit,order,admitted,recognition_ns,bdd_nodes,preimage_ns_per_query,incremental_varisat_ns_per_query,speedup_vs_incremental,sat_queries,unsat_queries,agreement,witnesses_valid,status
hub3,7,7,56,392,50,200000,evenodd,true,833750,585,13400.820,16302.500,1.216530,23,27,true,true,ok
hub3,7,15,112,840,50,200000,evenodd,true,2033625,596,4334.180,40583.340,9.363557,14,36,true,true,ok
hub3,7,31,224,1736,50,200000,evenodd,true,2537250,596,3716.660,56223.340,15.127383,11,39,true,true,ok
hub3,9,7,72,504,50,200000,evenodd,true,1813292,1543,22457.500,26901.660,1.197892,29,21,true,true,ok
hub3,9,15,144,1080,50,200000,evenodd,true,2538459,1797,7730.840,45696.660,5.910957,13,37,true,true,ok
hub3,9,31,288,2232,50,200000,evenodd,true,9266458,1797,7770.820,87300.840,11.234444,11,39,true,true,ok
tree3,7,7,56,392,50,200000,evenodd,true,422834,372,5934.180,17234.160,2.904219,22,28,true,true,ok
tree3,7,15,112,840,50,200000,evenodd,true,803625,372,8201.660,50764.160,6.189498,19,31,true,true,ok
tree3,7,31,224,1736,50,200000,evenodd,true,1187792,372,8566.680,90576.680,10.573137,21,29,true,true,ok
tree3,9,7,72,504,50,200000,evenodd,true,565500,942,19846.680,20918.340,1.053997,30,20,true,true,ok
tree3,9,15,144,1080,50,200000,evenodd,true,5418667,942,14117.500,78679.160,5.573165,17,33,true,true,ok
tree3,9,31,288,2232,50,200000,evenodd,true,4382166,942,16209.180,216502.500,13.356783,27,23,true,true,ok
irregular3,7,7,56,392,50,200000,evenodd,true,3596250,1219,7918.340,35906.660,4.534620,31,19,true,true,ok
irregular3,7,15,112,840,50,200000,evenodd,true,1201834,1366,4654.160,94243.340,20.249269,25,25,true,true,ok
irregular3,7,31,224,1736,50,200000,evenodd,true,2396375,1366,8100.820,209035.840,25.804282,26,24,true,true,ok
irregular3,9,7,72,504,50,200000,evenodd,true,1501458,3289,20455.000,14765.820,0.721868,28,22,true,true,ok
irregular3,9,15,144,1080,50,200000,evenodd,true,3351959,5417,13862.500,53574.180,3.864684,27,23,true,true,ok
irregular3,9,31,288,2232,50,200000,evenodd,true,6104375,5472,18952.500,157591.660,8.315086,27,23,true,true,ok
