schema_version,profile,operation,trial,elapsed_seconds,peak_rss_bytes,time_backend,platform
1,compact,create,1,2.61,18759680,bsd,Darwin-arm64
1,compact,verify,1,1.02,4161536,bsd,Darwin-arm64
1,proof,create,1,1.56,22593536,bsd,Darwin-arm64
1,proof,verify,1,0.52,10027008,bsd,Darwin-arm64
1,compact,create,2,2.50,17203200,bsd,Darwin-arm64
1,compact,verify,2,1.05,4210688,bsd,Darwin-arm64
1,proof,create,2,1.56,22249472,bsd,Darwin-arm64
1,proof,verify,2,0.52,10076160,bsd,Darwin-arm64
1,compact,create,3,2.56,17186816,bsd,Darwin-arm64
1,compact,verify,3,1.02,4227072,bsd,Darwin-arm64
1,proof,create,3,1.57,22233088,bsd,Darwin-arm64
1,proof,verify,3,0.53,10141696,bsd,Darwin-arm64
