schema_version,input_sha256,contract_sha256,bad_output,horizon,relevant_inputs,latches,phases,trial,result,certificate_generate_ns,certificate_verify_ns,cdcl_query_ns,certificate_bytes,raw_proof_bytes,proof_count,direct_evaluations,answers_agree,status
1,59cc306d3162b864295053adad293f8ac38328d6db21ecc90de1ad033259e647,c8ac93801263cfb229ef78b3b957f86e2f5369c6bd8148dc95ccb6ec8b484625,0,32,16,4,2,0,avoidable,56913125,1548000,610208,84033,33936,33,561,true,ok
1,59cc306d3162b864295053adad293f8ac38328d6db21ecc90de1ad033259e647,c8ac93801263cfb229ef78b3b957f86e2f5369c6bd8148dc95ccb6ec8b484625,0,32,16,4,2,1,avoidable,55634708,1372417,594417,84033,33936,33,561,true,ok
1,59cc306d3162b864295053adad293f8ac38328d6db21ecc90de1ad033259e647,c8ac93801263cfb229ef78b3b957f86e2f5369c6bd8148dc95ccb6ec8b484625,0,32,16,4,2,2,avoidable,56505208,1753292,693875,84033,33936,33,561,true,ok
1,59cc306d3162b864295053adad293f8ac38328d6db21ecc90de1ad033259e647,c8ac93801263cfb229ef78b3b957f86e2f5369c6bd8148dc95ccb6ec8b484625,0,32,16,4,2,3,avoidable,59771625,1351333,546834,84033,33936,33,561,true,ok
1,59cc306d3162b864295053adad293f8ac38328d6db21ecc90de1ad033259e647,c8ac93801263cfb229ef78b3b957f86e2f5369c6bd8148dc95ccb6ec8b484625,0,32,16,4,2,4,avoidable,56393042,1436958,552500,84033,33936,33,561,true,ok
1,59cc306d3162b864295053adad293f8ac38328d6db21ecc90de1ad033259e647,c8ac93801263cfb229ef78b3b957f86e2f5369c6bd8148dc95ccb6ec8b484625,0,32,16,4,2,5,avoidable,57046917,1475500,633334,84033,33936,33,561,true,ok
1,59cc306d3162b864295053adad293f8ac38328d6db21ecc90de1ad033259e647,c8ac93801263cfb229ef78b3b957f86e2f5369c6bd8148dc95ccb6ec8b484625,0,32,16,4,2,6,avoidable,58178000,1414250,551417,84033,33936,33,561,true,ok
1,59cc306d3162b864295053adad293f8ac38328d6db21ecc90de1ad033259e647,c8ac93801263cfb229ef78b3b957f86e2f5369c6bd8148dc95ccb6ec8b484625,0,32,16,4,2,7,avoidable,72599708,1350250,551375,84033,33936,33,561,true,ok
1,59cc306d3162b864295053adad293f8ac38328d6db21ecc90de1ad033259e647,c8ac93801263cfb229ef78b3b957f86e2f5369c6bd8148dc95ccb6ec8b484625,0,32,16,4,2,8,avoidable,55903542,1310958,539542,84033,33936,33,561,true,ok
1,59cc306d3162b864295053adad293f8ac38328d6db21ecc90de1ad033259e647,c8ac93801263cfb229ef78b3b957f86e2f5369c6bd8148dc95ccb6ec8b484625,0,32,16,4,2,9,avoidable,54626667,1423125,590250,84033,33936,33,561,true,ok
