schema_version,trial,channels,properties,safe,unsafe,family_model_artifact_bytes,expanded_model_bytes,family_portfolio_bytes,direct_portfolio_bytes,family_produce_micros,direct_produce_micros,family_verify_micros,direct_verify_micros,family_evidence_bytes,direct_evidence_bytes,family_sha256,direct_sha256,answers_equal,deterministic,process_scope,status
1,1,2,10,8,2,356,1596,5990,5698,696,448,551,445,5412,5412,ccf57729715a4e3f51b244c88f41d2a5e1b0df07d956a753f4857ca57920b053,eba6ba5223d68bbeabfa77fe0f8b074f995524a8417a8cce1556323bdf2d1ce6,true,true,single-process-release,accepted
1,2,2,10,8,2,356,1596,5990,5698,498,429,508,425,5412,5412,ccf57729715a4e3f51b244c88f41d2a5e1b0df07d956a753f4857ca57920b053,eba6ba5223d68bbeabfa77fe0f8b074f995524a8417a8cce1556323bdf2d1ce6,true,true,single-process-release,accepted
1,3,2,10,8,2,356,1596,5990,5698,492,435,508,719,5412,5412,ccf57729715a4e3f51b244c88f41d2a5e1b0df07d956a753f4857ca57920b053,eba6ba5223d68bbeabfa77fe0f8b074f995524a8417a8cce1556323bdf2d1ce6,true,true,single-process-release,accepted
1,4,2,10,8,2,356,1596,5990,5698,538,459,572,435,5412,5412,ccf57729715a4e3f51b244c88f41d2a5e1b0df07d956a753f4857ca57920b053,eba6ba5223d68bbeabfa77fe0f8b074f995524a8417a8cce1556323bdf2d1ce6,true,true,single-process-release,accepted
1,5,2,10,8,2,356,1596,5990,5698,502,438,514,504,5412,5412,ccf57729715a4e3f51b244c88f41d2a5e1b0df07d956a753f4857ca57920b053,eba6ba5223d68bbeabfa77fe0f8b074f995524a8417a8cce1556323bdf2d1ce6,true,true,single-process-release,accepted
1,1,4,20,16,4,488,2754,13584,13200,1592,1402,1560,1606,12754,12754,c3ad2250604ca20f84e19db084c761b7592a306a4594c810198a4ce7543982f1,e6b7e2ae4c9b80d38012d32be4c16d2a0532f2ad33bfb474dc708fe988517fd8,true,true,single-process-release,accepted
1,2,4,20,16,4,488,2754,13584,13200,1532,1528,1605,1399,12754,12754,c3ad2250604ca20f84e19db084c761b7592a306a4594c810198a4ce7543982f1,e6b7e2ae4c9b80d38012d32be4c16d2a0532f2ad33bfb474dc708fe988517fd8,true,true,single-process-release,accepted
1,3,4,20,16,4,488,2754,13584,13200,1622,1666,2310,1542,12754,12754,c3ad2250604ca20f84e19db084c761b7592a306a4594c810198a4ce7543982f1,e6b7e2ae4c9b80d38012d32be4c16d2a0532f2ad33bfb474dc708fe988517fd8,true,true,single-process-release,accepted
1,4,4,20,16,4,488,2754,13584,13200,1512,1376,1556,1857,12754,12754,c3ad2250604ca20f84e19db084c761b7592a306a4594c810198a4ce7543982f1,e6b7e2ae4c9b80d38012d32be4c16d2a0532f2ad33bfb474dc708fe988517fd8,true,true,single-process-release,accepted
1,5,4,20,16,4,488,2754,13584,13200,1506,1372,1519,1373,12754,12754,c3ad2250604ca20f84e19db084c761b7592a306a4594c810198a4ce7543982f1,e6b7e2ae4c9b80d38012d32be4c16d2a0532f2ad33bfb474dc708fe988517fd8,true,true,single-process-release,accepted
1,1,6,30,24,6,620,3918,23098,22622,3199,2967,3163,3155,22016,22016,c881b31b1589cdc5cef823a3f795800d13fb0e27daeabf995897f58e4fb427a6,24d7723528204958b8b01689b0bbe8d591217c330c62a96c25f59684a6d779e3,true,true,single-process-release,accepted
1,2,6,30,24,6,620,3918,23098,22622,3057,2996,3339,4422,22016,22016,c881b31b1589cdc5cef823a3f795800d13fb0e27daeabf995897f58e4fb427a6,24d7723528204958b8b01689b0bbe8d591217c330c62a96c25f59684a6d779e3,true,true,single-process-release,accepted
1,3,6,30,24,6,620,3918,23098,22622,3000,9649,3058,2881,22016,22016,c881b31b1589cdc5cef823a3f795800d13fb0e27daeabf995897f58e4fb427a6,24d7723528204958b8b01689b0bbe8d591217c330c62a96c25f59684a6d779e3,true,true,single-process-release,accepted
1,4,6,30,24,6,620,3918,23098,22622,2977,2831,3024,2857,22016,22016,c881b31b1589cdc5cef823a3f795800d13fb0e27daeabf995897f58e4fb427a6,24d7723528204958b8b01689b0bbe8d591217c330c62a96c25f59684a6d779e3,true,true,single-process-release,accepted
1,5,6,30,24,6,620,3918,23098,22622,2943,2825,3046,2849,22016,22016,c881b31b1589cdc5cef823a3f795800d13fb0e27daeabf995897f58e4fb427a6,24d7723528204958b8b01689b0bbe8d591217c330c62a96c25f59684a6d779e3,true,true,single-process-release,accepted
