schema_version,trial,mode,concurrency,producer_containers,checker_containers,combinations,queries,observations,model_bytes,evidence_bytes,synthesis_seconds,producer_orchestration_seconds,total_producer_seconds,checker_orchestration_seconds,synthesis_peak_rss_bytes,producer_child_peak_rss_bytes,checker_child_peak_rss_bytes,time_backend,safe,unsafe,semantic_change_sets,answers_match_gcc,all_evidence_verified,model_set_sha256,evidence_set_sha256,status
1,1,single-container-sequential,1,1,1,4,5,20,10402,5077,0.60,0.341,0.94,0.937,22609920,8105984,4755456,bsd,9,11,3,true,true,1e9c81c03f78b32b266c5d367cf484c1e56deba0808d1c4c59d460cb47d65e0e,d38d815128058d44282c2a34b6c9a1e84cf02cb9a337e5e8a7206576a97da90f,qualified-maintained-single-container-baseline
1,2,single-container-sequential,1,1,1,4,5,20,10402,5077,0.56,0.334,0.89,0.915,22675456,8105984,4833280,bsd,9,11,3,true,true,1e9c81c03f78b32b266c5d367cf484c1e56deba0808d1c4c59d460cb47d65e0e,d38d815128058d44282c2a34b6c9a1e84cf02cb9a337e5e8a7206576a97da90f,qualified-maintained-single-container-baseline
1,3,single-container-sequential,1,1,1,4,5,20,10402,5077,0.56,0.330,0.89,0.976,22675456,8105984,4816896,bsd,9,11,3,true,true,1e9c81c03f78b32b266c5d367cf484c1e56deba0808d1c4c59d460cb47d65e0e,d38d815128058d44282c2a34b6c9a1e84cf02cb9a337e5e8a7206576a97da90f,qualified-maintained-single-container-baseline
1,4,single-container-sequential,1,1,1,4,5,20,10402,5077,0.58,0.359,0.94,1.006,22659072,8105984,4751360,bsd,9,11,3,true,true,1e9c81c03f78b32b266c5d367cf484c1e56deba0808d1c4c59d460cb47d65e0e,d38d815128058d44282c2a34b6c9a1e84cf02cb9a337e5e8a7206576a97da90f,qualified-maintained-single-container-baseline
1,5,single-container-sequential,1,1,1,4,5,20,10402,5077,0.55,0.339,0.89,0.932,22626304,8105984,4820992,bsd,9,11,3,true,true,1e9c81c03f78b32b266c5d367cf484c1e56deba0808d1c4c59d460cb47d65e0e,d38d815128058d44282c2a34b6c9a1e84cf02cb9a337e5e8a7206576a97da90f,qualified-maintained-single-container-baseline
1,1,single-container-parallel-4,4,1,1,4,5,20,10402,5077,0.57,0.250,0.82,0.753,22675456,8060928,4997120,bsd,9,11,3,true,true,1e9c81c03f78b32b266c5d367cf484c1e56deba0808d1c4c59d460cb47d65e0e,d38d815128058d44282c2a34b6c9a1e84cf02cb9a337e5e8a7206576a97da90f,qualified-maintained-single-container-baseline
1,2,single-container-parallel-4,4,1,1,4,5,20,10402,5077,0.56,0.239,0.80,0.750,22593536,8011776,4988928,bsd,9,11,3,true,true,1e9c81c03f78b32b266c5d367cf484c1e56deba0808d1c4c59d460cb47d65e0e,d38d815128058d44282c2a34b6c9a1e84cf02cb9a337e5e8a7206576a97da90f,qualified-maintained-single-container-baseline
1,3,single-container-parallel-4,4,1,1,4,5,20,10402,5077,0.57,0.249,0.82,0.781,22577152,8118272,4648960,bsd,9,11,3,true,true,1e9c81c03f78b32b266c5d367cf484c1e56deba0808d1c4c59d460cb47d65e0e,d38d815128058d44282c2a34b6c9a1e84cf02cb9a337e5e8a7206576a97da90f,qualified-maintained-single-container-baseline
1,4,single-container-parallel-4,4,1,1,4,5,20,10402,5077,0.60,0.315,0.92,0.737,22593536,8069120,4866048,bsd,9,11,3,true,true,1e9c81c03f78b32b266c5d367cf484c1e56deba0808d1c4c59d460cb47d65e0e,d38d815128058d44282c2a34b6c9a1e84cf02cb9a337e5e8a7206576a97da90f,qualified-maintained-single-container-baseline
1,5,single-container-parallel-4,4,1,1,4,5,20,10402,5077,0.56,0.241,0.80,0.721,22593536,7966720,5144576,bsd,9,11,3,true,true,1e9c81c03f78b32b266c5d367cf484c1e56deba0808d1c4c59d460cb47d65e0e,d38d815128058d44282c2a34b6c9a1e84cf02cb9a337e5e8a7206576a97da90f,qualified-maintained-single-container-baseline
