schema_version,input_sha256,transcript_sha256,bad_output,horizon,relevant_inputs,latches,trial,result,certificate_generate_ns,certificate_verify_ns,cdcl_query_ns,certificate_bytes,raw_proof_bytes,proof_count,direct_evaluations,answers_agree,status
1,0474354ff264c336f6e9dc3f25d9d910f659a99daba00d436f4c4434d784df65,3b17ef023704a9dc7c73a148deea44d570335717bef5c8b2788e00b2dca3b652,0,8,9,2,0,avoidable,84530041,342417,254625,9706,4237,5,29,true,ok
1,0474354ff264c336f6e9dc3f25d9d910f659a99daba00d436f4c4434d784df65,3b17ef023704a9dc7c73a148deea44d570335717bef5c8b2788e00b2dca3b652,0,8,9,2,1,avoidable,27980583,466208,203292,9706,4237,5,29,true,ok
1,0474354ff264c336f6e9dc3f25d9d910f659a99daba00d436f4c4434d784df65,3b17ef023704a9dc7c73a148deea44d570335717bef5c8b2788e00b2dca3b652,0,8,9,2,2,avoidable,33987209,265000,215792,9706,4237,5,29,true,ok
1,0474354ff264c336f6e9dc3f25d9d910f659a99daba00d436f4c4434d784df65,3b17ef023704a9dc7c73a148deea44d570335717bef5c8b2788e00b2dca3b652,0,8,9,2,3,avoidable,44496125,274416,204708,9706,4237,5,29,true,ok
1,0474354ff264c336f6e9dc3f25d9d910f659a99daba00d436f4c4434d784df65,3b17ef023704a9dc7c73a148deea44d570335717bef5c8b2788e00b2dca3b652,0,8,9,2,4,avoidable,32559208,354000,206500,9706,4237,5,29,true,ok
1,0474354ff264c336f6e9dc3f25d9d910f659a99daba00d436f4c4434d784df65,3b17ef023704a9dc7c73a148deea44d570335717bef5c8b2788e00b2dca3b652,0,8,9,2,5,avoidable,37461292,391541,270958,9706,4237,5,29,true,ok
1,0474354ff264c336f6e9dc3f25d9d910f659a99daba00d436f4c4434d784df65,3b17ef023704a9dc7c73a148deea44d570335717bef5c8b2788e00b2dca3b652,0,8,9,2,6,avoidable,42328041,453084,381083,9706,4237,5,29,true,ok
1,0474354ff264c336f6e9dc3f25d9d910f659a99daba00d436f4c4434d784df65,3b17ef023704a9dc7c73a148deea44d570335717bef5c8b2788e00b2dca3b652,0,8,9,2,7,avoidable,21832708,267292,207750,9706,4237,5,29,true,ok
1,0474354ff264c336f6e9dc3f25d9d910f659a99daba00d436f4c4434d784df65,3b17ef023704a9dc7c73a148deea44d570335717bef5c8b2788e00b2dca3b652,0,8,9,2,8,avoidable,22438375,266333,200583,9706,4237,5,29,true,ok
1,0474354ff264c336f6e9dc3f25d9d910f659a99daba00d436f4c4434d784df65,3b17ef023704a9dc7c73a148deea44d570335717bef5c8b2788e00b2dca3b652,0,8,9,2,9,avoidable,32171583,252250,284375,9706,4237,5,29,true,ok
