schema_version,input_sha256,transcript_sha256,bad_output,relevant_inputs,latches,trial,producer_terminal_ns,proof_generate_ns,proof_verify_ns,exhaustive_verify_ns,exhaustive_evaluations,witnesses,proof_bytes,safe_states,terminal_agrees,status
1,59cc306d3162b864295053adad293f8ac38328d6db21ecc90de1ad033259e647,798f08c572a989b81d24d6704a5cfb6740ccf9a62caee843f418bc08d3c73c6a,0,16,4,0,141083,78292,67291,996875,16,16,1443,ffff,true,ok
1,59cc306d3162b864295053adad293f8ac38328d6db21ecc90de1ad033259e647,798f08c572a989b81d24d6704a5cfb6740ccf9a62caee843f418bc08d3c73c6a,0,16,4,1,104209,46000,42792,975875,16,16,1443,ffff,true,ok
1,59cc306d3162b864295053adad293f8ac38328d6db21ecc90de1ad033259e647,798f08c572a989b81d24d6704a5cfb6740ccf9a62caee843f418bc08d3c73c6a,0,16,4,2,94750,37916,41167,982041,16,16,1443,ffff,true,ok
1,59cc306d3162b864295053adad293f8ac38328d6db21ecc90de1ad033259e647,798f08c572a989b81d24d6704a5cfb6740ccf9a62caee843f418bc08d3c73c6a,0,16,4,3,95167,34708,39542,999417,16,16,1443,ffff,true,ok
1,59cc306d3162b864295053adad293f8ac38328d6db21ecc90de1ad033259e647,798f08c572a989b81d24d6704a5cfb6740ccf9a62caee843f418bc08d3c73c6a,0,16,4,4,98334,32708,48250,981666,16,16,1443,ffff,true,ok
1,59cc306d3162b864295053adad293f8ac38328d6db21ecc90de1ad033259e647,798f08c572a989b81d24d6704a5cfb6740ccf9a62caee843f418bc08d3c73c6a,0,16,4,5,95167,30750,35792,997250,16,16,1443,ffff,true,ok
1,59cc306d3162b864295053adad293f8ac38328d6db21ecc90de1ad033259e647,798f08c572a989b81d24d6704a5cfb6740ccf9a62caee843f418bc08d3c73c6a,0,16,4,6,96959,31792,34208,999625,16,16,1443,ffff,true,ok
1,59cc306d3162b864295053adad293f8ac38328d6db21ecc90de1ad033259e647,798f08c572a989b81d24d6704a5cfb6740ccf9a62caee843f418bc08d3c73c6a,0,16,4,7,90541,31459,34708,988875,16,16,1443,ffff,true,ok
1,59cc306d3162b864295053adad293f8ac38328d6db21ecc90de1ad033259e647,798f08c572a989b81d24d6704a5cfb6740ccf9a62caee843f418bc08d3c73c6a,0,16,4,8,93916,31542,34541,999625,16,16,1443,ffff,true,ok
1,59cc306d3162b864295053adad293f8ac38328d6db21ecc90de1ad033259e647,798f08c572a989b81d24d6704a5cfb6740ccf9a62caee843f418bc08d3c73c6a,0,16,4,9,100333,34750,36583,1098958,16,16,1443,ffff,true,ok
