width,horizon,variables,clauses,queries,max_bound_bits,frontier_bound_bits,admitted,peak_classes,total_layer_states,compile_ns,quotient_ns_per_query,kernel_ns_per_query,incremental_varisat_ns_per_query,quotient_speedup_vs_incremental,kernel_speedup_vs_incremental,quotient_break_even_queries,sat_queries,unsat_queries,agreement,kernel_agreement,witnesses_valid,kernel_witnesses_valid
12,10,132,240,100,12,13,false,0,0,0,0,0,0,0,0,0,0,true,true,true,true,true
12,100,1212,2400,100,12,13,false,0,0,0,0,0,0,0,0,0,0,true,true,true,true,true
12,1000,12012,24000,100,12,13,false,0,0,0,0,0,0,0,0,0,0,true,true,true,true,true
12,10000,120012,240000,100,12,13,false,0,0,0,0,0,0,0,0,0,0,true,true,true,true,true
14,10,154,280,100,12,15,false,0,0,0,0,0,0,0,0,0,0,true,true,true,true,true
14,100,1414,2800,100,12,15,false,0,0,0,0,0,0,0,0,0,0,true,true,true,true,true
14,1000,14014,28000,100,12,15,false,0,0,0,0,0,0,0,0,0,0,true,true,true,true,true
14,10000,140014,280000,100,12,15,false,0,0,0,0,0,0,0,0,0,0,true,true,true,true,true
16,10,176,320,100,12,17,false,0,0,0,0,0,0,0,0,0,0,true,true,true,true,true
16,100,1616,3200,100,12,17,false,0,0,0,0,0,0,0,0,0,0,true,true,true,true,true
16,1000,16016,32000,100,12,17,false,0,0,0,0,0,0,0,0,0,0,true,true,true,true,true
16,10000,160016,320000,100,12,17,false,0,0,0,0,0,0,0,0,0,0,true,true,true,true,true
18,10,198,360,100,12,19,false,0,0,0,0,0,0,0,0,0,0,true,true,true,true,true
18,100,1818,3600,100,12,19,false,0,0,0,0,0,0,0,0,0,0,true,true,true,true,true
18,1000,18018,36000,100,12,19,false,0,0,0,0,0,0,0,0,0,0,true,true,true,true,true
18,10000,180018,360000,100,12,19,false,0,0,0,0,0,0,0,0,0,0,true,true,true,true,true
20,10,220,400,100,12,21,false,0,0,0,0,0,0,0,0,0,0,true,true,true,true,true
20,100,2020,4000,100,12,21,false,0,0,0,0,0,0,0,0,0,0,true,true,true,true,true
20,1000,20020,40000,100,12,21,false,0,0,0,0,0,0,0,0,0,0,true,true,true,true,true
20,10000,200020,400000,100,12,21,false,0,0,0,0,0,0,0,0,0,0,true,true,true,true,true
